지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),현지기압(hPa),해면기압(hPa)
108,서울,2025.1.1 8:00,-0.8,,2.4,68,1011.1,1022
108,서울,2025.1.1 9:00,-0.1,,1.7,68,1011.2,1022.1
108,서울,2025.1.1 10:00,1.2,,1.6,66,1011.7,1022.5
108,서울,2025.1.1 11:00,3.1,,1.6,60,1011.7,1022.4
108,서울,2025.1.1 12:00,6.7,,2.1,55,1011,1021.6
108,서울,2025.1.1 13:00,7.8,,3.3,51,1010.3,1020.8
108,서울,2025.1.1 14:00,7.7,,3.9,54,1009.8,1020.3
108,서울,2025.1.1 15:00,8.5,,4.7,52,1009.5,1020
108,서울,2025.1.1 16:00,8.4,,4.2,50,1009.8,1020.3
108,서울,2025.1.1 17:00,7.1,,2.4,53,1010.1,1020.7
108,서울,2025.1.1 18:00,5.6,,2.9,59,1010.4,1021
108,서울,2025.1.1 19:00,4.7,,1.7,64,1010.8,1021.5
108,서울,2025.1.1 20:00,3.8,,2.2,73,1011.2,1021.9
108,서울,2025.1.1 21:00,3.3,,1,74,1011.6,1022.3
108,서울,2025.1.1 22:00,3,,2,72,1012,1022.7
108,서울,2025.1.1 23:00,1.9,,1.2,71,1012.1,1022.9
108,서울,2025.1.2 0:00,0.7,,1.5,72,1012.3,1023.1
108,서울,2025.1.2 1:00,0.4,,1.4,74,1012.3,1023.2
108,서울,2025.1.2 2:00,-0.7,,1.2,75,1012.6,1023.5
108,서울,2025.1.2 3:00,-1.4,,1.6,70,1013,1023.9
108,서울,2025.1.2 4:00,-1.5,,2,72,1013.3,1024.2
108,서울,2025.1.2 5:00,-2.3,,1.1,73,1013.3,1024.3
108,서울,2025.1.2 6:00,-2.5,,0.9,74,1013.3,1024.3
108,서울,2025.1.2 7:00,-2.5,,2.8,74,1013.7,1024.7
108,서울,2025.1.2 8:00,-2.8,,0.8,67,1014.2,1025.2
108,서울,2025.1.2 9:00,-2.3,,0.8,66,1014.6,1025.6
108,서울,2025.1.2 10:00,-0.3,,1.7,56,1015,1025.9
108,서울,2025.1.2 11:00,1.9,,2.4,41,1014.6,1025.4
108,서울,2025.1.2 12:00,3.5,,2.8,39,1013.9,1024.6
108,서울,2025.1.2 13:00,4.8,,3.6,29,1013,1023.7
108,서울,2025.1.2 14:00,5.2,,3.3,25,1012.7,1023.4
108,서울,2025.1.2 15:00,5.9,,2.1,27,1012.8,1023.4
108,서울,2025.1.2 16:00,5.4,,3.2,26,1013,1023.7
108,서울,2025.1.2 17:00,4.1,,2.6,28,1013.1,1023.8
108,서울,2025.1.2 18:00,2.7,,2,31,1013.6,1024.4
108,서울,2025.1.2 19:00,1.8,,2,32,1014,1024.8
108,서울,2025.1.2 20:00,1,,1.7,34,1014.2,1025
108,서울,2025.1.2 21:00,0,,0.4,37,1014.1,1025
108,서울,2025.1.2 22:00,-0.2,,2.6,40,1014.2,1025.1
108,서울,2025.1.2 23:00,-0.8,,3.2,45,1014.6,1025.5
108,서울,2025.1.3 0:00,-2,,3.2,46,1015,1026
108,서울,2025.1.3 1:00,-2.8,,2.3,48,1015.1,1026.1
108,서울,2025.1.3 2:00,-3.5,,2,49,1015.2,1026.2
108,서울,2025.1.3 3:00,-3.7,,2.7,49,1015.2,1026.3
108,서울,2025.1.3 4:00,-4.5,,1.3,51,1015,1026.1
108,서울,2025.1.3 5:00,-4.8,,1,52,1014.6,1025.7
108,서울,2025.1.3 6:00,-5.1,,1.3,55,1014.9,1026
108,서울,2025.1.3 7:00,-4.9,,1.8,57,1015.3,1026.4
108,서울,2025.1.3 8:00,-4.7,,1.5,54,1016.1,1027.2
108,서울,2025.1.3 9:00,-4.1,,2.2,50,1016.2,1027.3
108,서울,2025.1.3 10:00,-2.6,,2.4,40,1016.4,1027.4
108,서울,2025.1.3 11:00,-0.1,,1,36,1016.1,1027
108,서울,2025.1.3 12:00,1.9,,2.4,30,1015.2,1026
108,서울,2025.1.3 13:00,2.3,,2.4,29,1014.4,1025.2
108,서울,2025.1.3 14:00,2.7,,2.6,34,1014.2,1025
108,서울,2025.1.3 15:00,2.2,,2.7,38,1013.9,1024.7
108,서울,2025.1.3 16:00,3.1,,3.5,39,1013.8,1024.6
108,서울,2025.1.3 17:00,2.1,,2.9,44,1013.7,1024.5
108,서울,2025.1.3 18:00,1.2,,2.5,63,1014,1024.8
108,서울,2025.1.3 19:00,0.9,,2.3,67,1014.3,1025.2
108,서울,2025.1.3 20:00,0.4,,1.9,66,1014.3,1025.2
108,서울,2025.1.3 21:00,0.5,0,1.5,70,1014.5,1025.4
108,서울,2025.1.3 22:00,0.4,,3.2,71,1014.9,1025.8
108,서울,2025.1.3 23:00,-0.7,,4.2,70,1015.1,1026
108,서울,2025.1.4 0:00,-1.9,0,3.6,61,1015.4,1026.4
108,서울,2025.1.4 1:00,-2.6,,2.5,58,1015.4,1026.4
108,서울,2025.1.4 2:00,-3,,3.1,58,1015.7,1026.7
108,서울,2025.1.4 3:00,-3.5,,1.9,61,1016,1027.1
108,서울,2025.1.4 4:00,-4.2,,1.5,62,1015.7,1026.8
108,서울,2025.1.4 5:00,-4.3,,0.9,59,1015.5,1026.6
108,서울,2025.1.4 6:00,-4.9,,1,60,1015.8,1026.9
108,서울,2025.1.4 7:00,-5.1,,0.5,63,1016,1027.1
108,서울,2025.1.4 8:00,-5.4,,1.8,61,1016.1,1027.2
108,서울,2025.1.4 9:00,-4.7,,1.4,66,1016.5,1027.6
108,서울,2025.1.4 10:00,-1.7,,2.3,63,1016.4,1027.4
108,서울,2025.1.4 11:00,0.7,,0.8,47,1016.7,1027.6
108,서울,2025.1.4 12:00,3.3,,1.7,41,1016.1,1026.9
108,서울,2025.1.4 13:00,3.7,,2.2,31,1015.5,1026.3
108,서울,2025.1.4 14:00,5.1,,2.7,29,1015.1,1025.8
108,서울,2025.1.4 15:00,5.5,,1.5,26,1015.1,1025.8
108,서울,2025.1.4 16:00,4.8,,2.5,29,1014.9,1025.6
108,서울,2025.1.4 17:00,3.6,,1.8,36,1014.9,1025.6
108,서울,2025.1.4 18:00,3,,1.8,39,1015,1025.8
108,서울,2025.1.4 19:00,2.4,,2.1,38,1015.1,1025.9
108,서울,2025.1.4 20:00,1.3,,1,45,1014.6,1025.4
108,서울,2025.1.4 21:00,0.8,,1.7,48,1014.3,1025.2
108,서울,2025.1.4 22:00,0.4,,1.7,50,1014.5,1025.4
108,서울,2025.1.4 23:00,0,,1.3,52,1014.2,1025.1
108,서울,2025.1.5 0:00,-0.3,,2.1,56,1013.3,1024.2
108,서울,2025.1.5 1:00,-0.6,,2.3,57,1012.3,1023.2
108,서울,2025.1.5 2:00,-0.6,,1.8,60,1012,1022.9
108,서울,2025.1.5 3:00,0.1,0,2.2,61,1012,1022.9
108,서울,2025.1.5 4:00,0.6,,2.7,62,1011.2,1022
108,서울,2025.1.5 5:00,0.7,,2.3,60,1010.4,1021.2
108,서울,2025.1.5 6:00,0.5,0.3,2.6,72,1010.1,1020.9
108,서울,2025.1.5 7:00,-0.2,,2.5,87,1010.2,1021.1
108,서울,2025.1.5 8:00,-0.2,,1.9,91,1010.4,1021.3
108,서울,2025.1.5 9:00,-0.3,4.1,2,92,1010.2,1021.1
108,서울,2025.1.5 10:00,-0.1,,2.6,93,1009.8,1020.6
108,서울,2025.1.5 11:00,0.4,,1.9,94,1009.8,1020.6
108,서울,2025.1.5 12:00,0.6,1.3,2.3,93,1009,1019.8
108,서울,2025.1.5 13:00,0.8,,1.8,93,1008.2,1019
108,서울,2025.1.5 14:00,1.2,,2.6,93,1007.4,1018.2
108,서울,2025.1.5 15:00,1.8,1,3.1,91,1006.7,1017.4
108,서울,2025.1.5 16:00,1.8,,2.9,91,1006.7,1017.4
108,서울,2025.1.5 17:00,1.9,,2.8,90,1006.9,1017.6
108,서울,2025.1.5 18:00,1.9,,2.8,90,1006.7,1017.4
108,서울,2025.1.5 19:00,2.1,,2.7,90,1007,1017.7
108,서울,2025.1.5 20:00,2.2,,2.8,90,1006.9,1017.6
108,서울,2025.1.5 21:00,2.2,,2.6,90,1006.7,1017.4
108,서울,2025.1.5 22:00,2.4,,2.6,90,1006.3,1017
108,서울,2025.1.5 23:00,2.4,,2.3,90,1006.1,1016.8
108,서울,2025.1.6 0:00,2.4,,2.2,91,1005.6,1016.3
108,서울,2025.1.6 1:00,2.5,,2.3,90,1004.6,1015.3
108,서울,2025.1.6 2:00,2.9,,4.7,94,1004.5,1015.2
108,서울,2025.1.6 3:00,2.7,1.2,1,92,1004.4,1015.1
108,서울,2025.1.6 4:00,2.4,,0.6,93,1003.7,1014.4
108,서울,2025.1.6 5:00,2.3,,2.4,94,1003.3,1014
108,서울,2025.1.6 6:00,2.2,1.8,2.1,95,1003.7,1014.4
108,서울,2025.1.6 7:00,2.2,,0.3,94,1004.1,1014.8
108,서울,2025.1.6 8:00,2.3,,1.5,94,1004.3,1015
108,서울,2025.1.6 9:00,2.5,0,2,95,1004.5,1015.2
108,서울,2025.1.6 10:00,2.1,,3.6,92,1005.1,1015.8
108,서울,2025.1.6 11:00,2.3,,3.1,85,1005.2,1015.9
108,서울,2025.1.6 12:00,2.7,0,3.6,73,1004.8,1015.5
108,서울,2025.1.6 13:00,2.9,,3.8,68,1004.3,1015
108,서울,2025.1.6 14:00,2.7,,3.9,65,1004.1,1014.8
108,서울,2025.1.6 15:00,2.4,,4,64,1004.5,1015.2
108,서울,2025.1.6 16:00,2,,3.6,62,1005.3,1016
108,서울,2025.1.6 17:00,1.2,,4.5,65,1005.9,1016.7
108,서울,2025.1.6 18:00,0.2,,3.6,66,1006.7,1017.5
108,서울,2025.1.6 19:00,-0.7,,2.9,65,1007.4,1018.2
108,서울,2025.1.6 20:00,-1.3,,3.3,64,1007.9,1018.8
108,서울,2025.1.6 21:00,-1.8,,3,59,1008.6,1019.5
108,서울,2025.1.6 22:00,-2.4,,4.5,57,1008.9,1019.8
108,서울,2025.1.6 23:00,-2.8,,2.5,61,1008.9,1019.8
108,서울,2025.1.7 0:00,-3,,2.9,61,1008.7,1019.6
108,서울,2025.1.7 1:00,-3.2,,3.1,55,1008.5,1019.5
108,서울,2025.1.7 2:00,-3.6,,3.9,50,1008.2,1019.2
108,서울,2025.1.7 3:00,-3.9,,3.5,51,1008.6,1019.6
108,서울,2025.1.7 4:00,-4.2,,3.4,53,1008,1019
108,서울,2025.1.7 5:00,-4.4,,2.2,53,1007.7,1018.7
108,서울,2025.1.7 6:00,-5,,1.9,55,1007.8,1018.8
108,서울,2025.1.7 7:00,-5.1,,2.1,54,1007.8,1018.8
108,서울,2025.1.7 8:00,-5.7,,0.7,56,1008,1019.1
108,서울,2025.1.7 9:00,-5.1,,1.2,55,1008.2,1019.2
108,서울,2025.1.7 10:00,-3.3,,2.2,46,1008.2,1019.2
108,서울,2025.1.7 11:00,-1.4,,2.8,41,1007.9,1018.8
108,서울,2025.1.7 12:00,-0.6,,4.4,38,1007.1,1017.9
108,서울,2025.1.7 13:00,0.7,,3,40,1005.9,1016.7
108,서울,2025.1.7 14:00,1,,4.5,45,1005.3,1016.1
108,서울,2025.1.7 15:00,0.7,,5.4,51,1005.4,1016.2
108,서울,2025.1.7 16:00,0,,3.8,52,1005.9,1016.7
108,서울,2025.1.7 17:00,-0.4,,3.7,57,1006.2,1017
108,서울,2025.1.7 18:00,-1,0,4.2,66,1006.9,1017.8
108,서울,2025.1.7 19:00,-1.4,,2.2,69,1007.1,1018
108,서울,2025.1.7 20:00,-1.7,,2.5,69,1007.8,1018.7
108,서울,2025.1.7 21:00,-1.9,0.1,3.3,53,1008.3,1019.2
108,서울,2025.1.7 22:00,-2.7,,1.8,56,1008.3,1019.2
108,서울,2025.1.7 23:00,-3.9,,0.2,58,1008.3,1019.3
108,서울,2025.1.8 0:00,-4.3,,0.6,59,1008,1019
108,서울,2025.1.8 1:00,-4.4,,0.7,63,1008.2,1019.2
108,서울,2025.1.8 2:00,-4.7,,1.4,65,1008,1019
108,서울,2025.1.8 3:00,-4.1,,1.2,66,1008.4,1019.4
108,서울,2025.1.8 4:00,-4.3,,0.7,67,1008.2,1019.2
108,서울,2025.1.8 5:00,-4.4,,1.7,67,1008.5,1019.5
108,서울,2025.1.8 6:00,-4.5,,1,65,1008.5,1019.5
108,서울,2025.1.8 7:00,-4.5,,0.9,62,1008.8,1019.8
108,서울,2025.1.8 8:00,-4.8,,1.2,63,1009.1,1020.1
108,서울,2025.1.8 9:00,-4.1,,1.1,53,1009.6,1020.6
108,서울,2025.1.8 10:00,-2.9,,1.9,49,1010.1,1021.1
108,서울,2025.1.8 11:00,-1.8,,2.5,44,1010,1020.9
108,서울,2025.1.8 12:00,-1,,2.6,46,1009.3,1020.2
108,서울,2025.1.8 13:00,-0.3,,2.8,44,1008.7,1019.5
108,서울,2025.1.8 14:00,-0.1,,3.7,44,1008.1,1018.9
108,서울,2025.1.8 15:00,0.1,,3,45,1007.5,1018.3
108,서울,2025.1.8 16:00,-0.1,,4.9,44,1007.5,1018.3
108,서울,2025.1.8 17:00,-1,,5.4,42,1007.9,1018.8
108,서울,2025.1.8 18:00,-2,,4.4,45,1008.4,1019.3
108,서울,2025.1.8 19:00,-2.9,,4.9,51,1008.9,1019.9
108,서울,2025.1.8 20:00,-4.1,,4.3,57,1009.9,1020.9
108,서울,2025.1.8 21:00,-5.2,,4.4,56,1010.8,1021.9
108,서울,2025.1.8 22:00,-5.8,,2.9,57,1011.2,1022.3
108,서울,2025.1.8 23:00,-5.7,,3.7,59,1011.6,1022.7
108,서울,2025.1.9 0:00,-6.1,0,4,65,1011.9,1023
108,서울,2025.1.9 1:00,-7.5,,5.7,51,1012.5,1023.7
108,서울,2025.1.9 2:00,-8.2,,2.3,49,1012.7,1023.9
108,서울,2025.1.9 3:00,-8.4,0,4.1,39,1013.5,1024.7
108,서울,2025.1.9 4:00,-8.8,,4.1,35,1013.5,1024.8
108,서울,2025.1.9 5:00,-9.2,,3.6,36,1013.3,1024.6
108,서울,2025.1.9 6:00,-9.5,,4.2,37,1013.2,1024.5
108,서울,2025.1.9 7:00,-9.8,,3.3,39,1013.6,1024.9
108,서울,2025.1.9 8:00,-10.1,,3.8,41,1014,1025.3
108,서울,2025.1.9 9:00,-10.1,,4.8,42,1014.4,1025.7
108,서울,2025.1.9 10:00,-9.4,,5.4,40,1014.7,1026
108,서울,2025.1.9 11:00,-8.5,,6,39,1014.4,1025.6
108,서울,2025.1.9 12:00,-8.1,,5.2,34,1013.7,1024.9
108,서울,2025.1.9 13:00,-8.5,,7.2,36,1013,1024.2
108,서울,2025.1.9 14:00,-8.1,,5.5,33,1012.8,1024
108,서울,2025.1.9 15:00,-8,,5.3,33,1013.1,1024.3
108,서울,2025.1.9 16:00,-8.6,,6.2,34,1013.4,1024.6
108,서울,2025.1.9 17:00,-9.4,,4.2,37,1014.4,1025.7
108,서울,2025.1.9 18:00,-10.3,,3.8,35,1015.6,1026.9
108,서울,2025.1.9 19:00,-10.6,,3.5,39,1016.6,1028
108,서울,2025.1.9 20:00,-11.1,,1.7,40,1017.4,1028.8
108,서울,2025.1.9 21:00,-11.4,,1.7,42,1018,1029.4
108,서울,2025.1.9 22:00,-11.3,,2.5,42,1018.5,1029.9
108,서울,2025.1.9 23:00,-11.4,,2.3,43,1019.3,1030.7
108,서울,2025.1.10 0:00,-11.6,,0.7,45,1019.4,1030.8
108,서울,2025.1.10 1:00,-11.7,,1.1,45,1019.5,1030.9
108,서울,2025.1.10 2:00,-11.7,,1.3,46,1019.9,1031.4
108,서울,2025.1.10 3:00,-11.6,,1.5,47,1020.5,1032
108,서울,2025.1.10 4:00,-11.6,,2.2,49,1020.5,1032
108,서울,2025.1.10 5:00,-11.6,,2.6,49,1020.7,1032.2
108,서울,2025.1.10 6:00,-11.5,,2.5,49,1020.8,1032.3
108,서울,2025.1.10 7:00,-12,,0.9,52,1021.4,1032.9
108,서울,2025.1.10 8:00,-12.1,,1.3,52,1021.6,1033.1
108,서울,2025.1.10 9:00,-11.2,,1.3,50,1021.7,1033.1
108,서울,2025.1.10 10:00,-8.8,,1.5,48,1022.1,1033.4
108,서울,2025.1.10 11:00,-7.8,,2.6,46,1022.1,1033.4
108,서울,2025.1.10 12:00,-5.4,,1.8,44,1021.7,1032.9
108,서울,2025.1.10 13:00,-4.4,,1.6,42,1020.5,1031.6
108,서울,2025.1.10 14:00,-3.4,,1.2,38,1019.7,1030.8
108,서울,2025.1.10 15:00,-2,,2,36,1019.4,1030.4
108,서울,2025.1.10 16:00,-2.3,,2.1,36,1019.4,1030.4
108,서울,2025.1.10 17:00,-3,,2.1,42,1019.5,1030.6
108,서울,2025.1.10 18:00,-4.2,,1.4,45,1019.8,1030.9
108,서울,2025.1.10 19:00,-5.2,,1.6,47,1019.9,1031.1
108,서울,2025.1.10 20:00,-5.7,,0.7,50,1020.1,1031.3
108,서울,2025.1.10 21:00,-6.1,,0.9,54,1020.5,1031.7
108,서울,2025.1.10 22:00,-5.9,,0.9,56,1020.7,1031.9
108,서울,2025.1.10 23:00,-6,,1,59,1020.7,1031.9
108,서울,2025.1.11 0:00,-6.1,,1.5,59,1020.4,1031.6
108,서울,2025.1.11 1:00,-6.4,,1.6,63,1020.1,1031.3
108,서울,2025.1.11 2:00,-7,,0.6,64,1019.8,1031
108,서울,2025.1.11 3:00,-7.5,,0.8,66,1019.9,1031.2
108,서울,2025.1.11 4:00,-8.1,,1.1,67,1019.4,1030.7
108,서울,2025.1.11 5:00,-8.5,,1.5,71,1019,1030.3
108,서울,2025.1.11 6:00,-9,,1.6,72,1018.8,1030.1
108,서울,2025.1.11 7:00,-9.2,,2.6,72,1019,1030.3
108,서울,2025.1.11 8:00,-9.4,,2.4,73,1019.4,1030.7
108,서울,2025.1.11 9:00,-8.7,,2,71,1020,1031.3
108,서울,2025.1.11 10:00,-6.3,,2.3,62,1020.1,1031.3
108,서울,2025.1.11 11:00,-4.4,,2.2,55,1019.8,1030.9
108,서울,2025.1.11 12:00,-2.7,,1,51,1018.7,1029.7
108,서울,2025.1.11 13:00,-0.5,,1.5,45,1017.5,1028.4
108,서울,2025.1.11 14:00,-0.9,,2.7,39,1016.9,1027.9
108,서울,2025.1.11 15:00,0.3,,3.4,37,1016.5,1027.4
108,서울,2025.1.11 16:00,-0.6,,2,38,1016.4,1027.3
108,서울,2025.1.11 17:00,-1.4,,2.1,40,1016.3,1027.3
108,서울,2025.1.11 18:00,-2.5,,1.9,45,1016.4,1027.4
108,서울,2025.1.11 19:00,-3.3,,2.6,53,1016.4,1027.4
108,서울,2025.1.11 20:00,-4,,1.2,56,1016.2,1027.3
108,서울,2025.1.11 21:00,-5,,0.4,55,1016,1027.1
108,서울,2025.1.11 22:00,-5.4,,0.8,57,1016,1027.1
108,서울,2025.1.11 23:00,-6,,1.4,61,1015.7,1026.9
108,서울,2025.1.12 0:00,-6,,0.7,62,1015.3,1026.4
108,서울,2025.1.12 1:00,-6.1,,1.6,61,1014.9,1026.1
108,서울,2025.1.12 2:00,-6.4,,1.8,65,1014.6,1025.8
108,서울,2025.1.12 3:00,-6.8,,1.8,67,1014.3,1025.5
108,서울,2025.1.12 4:00,-7.1,,2.1,68,1014,1025.2
108,서울,2025.1.12 5:00,-7.5,,2,70,1013.7,1024.9
108,서울,2025.1.12 6:00,-7.7,,2.2,72,1013.5,1024.7
108,서울,2025.1.12 7:00,-8,,2.1,73,1013.8,1025
108,서울,2025.1.12 8:00,-8.2,,2.6,75,1014,1025.2
108,서울,2025.1.12 9:00,-7.7,,1.9,74,1014.1,1025.3
108,서울,2025.1.12 10:00,-5.5,,2.4,68,1014.3,1025.4
108,서울,2025.1.12 11:00,-3,,1.4,59,1014,1025
108,서울,2025.1.12 12:00,-1,,1.1,51,1013.1,1024
108,서울,2025.1.12 13:00,1.2,,0.9,41,1012.2,1023
108,서울,2025.1.12 14:00,1.9,,2.1,38,1011.6,1022.4
108,서울,2025.1.12 15:00,1.6,,2.5,42,1011.6,1022.4
108,서울,2025.1.12 16:00,1.8,,2.2,43,1011.9,1022.7
108,서울,2025.1.12 17:00,1.1,,2.5,45,1012.2,1023
108,서울,2025.1.12 18:00,-0.2,,1.4,50,1012.6,1023.5
108,서울,2025.1.12 19:00,-0.9,,1.4,53,1013.1,1024
108,서울,2025.1.12 20:00,-1.5,,1.2,54,1013.6,1024.5
108,서울,2025.1.12 21:00,-2.5,,1.2,59,1014.2,1025.2
108,서울,2025.1.12 22:00,-3.2,,1,64,1014.7,1025.7
108,서울,2025.1.12 23:00,-3.2,,1.7,65,1015.2,1026.2
108,서울,2025.1.13 0:00,-3.3,,1.6,64,1015,1026
108,서울,2025.1.13 1:00,-4.1,,1.2,67,1015,1026.1
108,서울,2025.1.13 2:00,-4.5,,1.1,68,1014.9,1026
108,서울,2025.1.13 3:00,-4.7,,1.1,70,1015.3,1026.4
108,서울,2025.1.13 4:00,-5.1,,1.6,73,1015.1,1026.2
108,서울,2025.1.13 5:00,-5.3,,2.4,75,1014.9,1026
108,서울,2025.1.13 6:00,-5.6,,1.8,76,1014.9,1026
108,서울,2025.1.13 7:00,-5.1,,2.3,77,1015.1,1026.2
108,서울,2025.1.13 8:00,-4.2,,2.2,74,1015.3,1026.4
108,서울,2025.1.13 9:00,-3.4,0,2,74,1015.6,1026.6
108,서울,2025.1.13 10:00,-2.2,,2.9,73,1016,1027
108,서울,2025.1.13 11:00,-0.8,,2.7,67,1015.9,1026.8
108,서울,2025.1.13 12:00,1.1,0,2.4,60,1014.9,1025.8
108,서울,2025.1.13 13:00,2.6,,1.3,58,1013.9,1024.7
108,서울,2025.1.13 14:00,3.9,,2.6,59,1012.9,1023.6
108,서울,2025.1.13 15:00,3.9,0,4,62,1012.5,1023.2
108,서울,2025.1.13 16:00,3.5,,2.7,71,1012.7,1023.4
108,서울,2025.1.13 17:00,2.1,,1.1,87,1012.7,1023.5
108,서울,2025.1.13 18:00,2,1,0.5,89,1012.6,1023.4
108,서울,2025.1.13 19:00,1.6,,1.4,91,1012.7,1023.5
108,서울,2025.1.13 20:00,1.6,,2.2,92,1012.4,1023.2
108,서울,2025.1.13 21:00,1.6,0.3,1.3,91,1012.7,1023.5
108,서울,2025.1.13 22:00,1.6,,1.4,90,1012.8,1023.6
108,서울,2025.1.13 23:00,1.8,,1.2,91,1012.8,1023.6
108,서울,2025.1.14 0:00,1.7,0,1.5,93,1012.5,1023.3
108,서울,2025.1.14 1:00,1.7,,1.5,93,1012.2,1023
108,서울,2025.1.14 2:00,1.8,,0.6,92,1012.1,1022.9
108,서울,2025.1.14 3:00,1.8,0,1.7,92,1012,1022.8
108,서울,2025.1.14 4:00,1.8,,1.8,93,1011.8,1022.6
108,서울,2025.1.14 5:00,2,,0.7,91,1012,1022.8
108,서울,2025.1.14 6:00,1.7,0.1,1.6,93,1011.9,1022.7
108,서울,2025.1.14 7:00,1.1,,1.9,93,1012.1,1022.9
108,서울,2025.1.14 8:00,0.8,,2,94,1012.1,1022.9
108,서울,2025.1.14 9:00,1.2,,2.3,97,1012.4,1023.2
108,서울,2025.1.14 10:00,1.8,,1.8,97,1012.9,1023.7
108,서울,2025.1.14 11:00,3,,1.5,96,1013,1023.8
108,서울,2025.1.14 12:00,5,,1.8,89,1012.7,1023.4
108,서울,2025.1.14 13:00,5,,3.6,71,1012.2,1022.9
108,서울,2025.1.14 14:00,4.7,,2.9,64,1012,1022.7
108,서울,2025.1.14 15:00,4.8,,2.9,51,1012.3,1023
108,서울,2025.1.14 16:00,4.8,,2.4,48,1012.4,1023.1
108,서울,2025.1.14 17:00,4.3,,3.7,51,1012.9,1023.6
108,서울,2025.1.14 18:00,3.8,,3,55,1013.3,1024
108,서울,2025.1.14 19:00,3.2,,2.6,51,1013.7,1024.5
108,서울,2025.1.14 20:00,2.5,,1.9,51,1013.8,1024.6
108,서울,2025.1.14 21:00,1.6,,4.2,49,1014.4,1025.2
108,서울,2025.1.14 22:00,0.1,,2.5,42,1015.2,1026.1
108,서울,2025.1.14 23:00,-1.1,,3.2,48,1015.8,1026.8
108,서울,2025.1.15 0:00,-1.7,,3.2,50,1016.1,1027.1
108,서울,2025.1.15 1:00,-2.2,,2.7,53,1016.1,1027.1
108,서울,2025.1.15 2:00,-2.9,,2,55,1016.2,1027.2
108,서울,2025.1.15 3:00,-3.3,,1.5,56,1016.4,1027.4
108,서울,2025.1.15 4:00,-3.6,,3.9,50,1016.7,1027.8
108,서울,2025.1.15 5:00,-4.3,,2,50,1016.8,1027.9
108,서울,2025.1.15 6:00,-4.8,,2.1,51,1017,1028.1
108,서울,2025.1.15 7:00,-5,,2.1,50,1017.4,1028.5
108,서울,2025.1.15 8:00,-5.2,,2.3,49,1017.7,1028.8
108,서울,2025.1.15 9:00,-4.6,,3.5,45,1018.3,1029.4
108,서울,2025.1.15 10:00,-3.8,,5.1,34,1018.7,1029.8
108,서울,2025.1.15 11:00,-3.2,,3.7,33,1018.9,1030
108,서울,2025.1.15 12:00,-2.6,,4.1,28,1018.2,1029.2
108,서울,2025.1.15 13:00,-1.6,,4,28,1017.3,1028.3
108,서울,2025.1.15 14:00,-1.7,,4.4,25,1016.7,1027.7
108,서울,2025.1.15 15:00,-0.9,,3.8,25,1016.6,1027.6
108,서울,2025.1.15 16:00,-1,,3.6,25,1016.8,1027.8
108,서울,2025.1.15 17:00,-1.9,,3,28,1017,1028
